ignore if not empty;modname;modurl;dependencies;Tags;Modpack;Notes;edited;moddesc;ModDB URL;Forum URL;imported
;moon_phases;https://github.com/t-affeldt/minetest_moon_phase.git;;;;;;[Moon Phases] Changes the moon to follow a cycle between eight different phases.;https://content.minetest.net/packages/TestificateMods/moon_phases/;https://forum.minetest.net/viewtopic.php?t=24536;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tac_nayn;https://github.com/GreenXenith/tac_nayn;default ;;;;;[Tac Nayn] Adds Nyan Cat's evil twin, Tac Nayn (and a gray-scale rainbow).;https://content.minetest.net/packages/GreenDimond/tac_nayn/;https://forum.minetest.net/viewtopic.php?t=13515;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;castle_farming;https://github.com/minetest-mods/castle_farming;default farming wool bucket ;;;;;[Castle Farming] Contains farming products useful for decorating a castle;https://content.minetest.net/packages/FaceDeer/castle_farming/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_gazer;https://gitlab.com/H4mlet/mobs_gazer;default mobs ;;;;;[Mobs Gazer] Adds a gazing monster.;https://content.minetest.net/packages/Hamlet/mobs_gazer/;https://forum.minetest.net/viewtopic.php?t=23754;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;doorbell;;;;;;;[doorbell] A doorbell mod with sound ;https://content.minetest.net/packages/Miniontoby/doorbell/;https://forum.minetest.net/viewtopic.php?t=22339;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mesecons_window;http://repo.or.cz/mesecons_window.git;mesecons ;;;;;[Mesecons Windows] Adds 3 glass blocks which change their transparency when supplied with Mesecons power.;https://content.minetest.net/packages/Wuzzy/mesecons_window/;https://forum.minetest.net/viewtopic.php?t=16678;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;aurora_tech;https://github.com/Aurailus-Minetest/AuroraTech;bucket tnt 3d_armor default player_api ;;;;;[Aurora Tech] Unique and powerful gadgets and utilites.;https://content.minetest.net/packages/Aurailus/aurora_tech/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;televator;https://github.com/octacian/televator;;;;;;[Televator] Televator allows you to create simple elevators in your worlds that work incredibly fast amidst lag and are relatively inexpensive to make.;https://content.minetest.net/packages/octacian/televator/;https://forum.minetest.net/viewtopic.php?t=17607;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;journal;https://github.com/theFox6/journal_modpack;;;;;;[Journal] Do you want to add story to your game? Make your protagonist write notes into his Journal.;https://content.minetest.net/packages/theFox/journal/;https://forum.minetest.net/viewtopic.php?t=19611;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;wateringcan;http://repo.or.cz/minetest_wateringcan.git;;;;;;[Watering Can] A watering can to wetten soil.;https://content.minetest.net/packages/Wuzzy/wateringcan/;https://forum.minetest.net/viewtopic.php?t=9508;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;aqua_farming;https://github.com/acmgit/aqua_farming;default ;;;;;[Aqua Farming] Farming under Water, now it's possible.;https://content.minetest.net/packages/Clyde/aqua_farming/;https://forum.minetest.net/viewtopic.php?t=24352;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;show_wielded_item;https://repo.or.cz/minetest_show_wielded_item.git;;;;;;[Show Wielded Item] Displays the name of the wielded item.;https://content.minetest.net/packages/Wuzzy/show_wielded_item/;https://forum.minetest.net/viewtopic.php?t=18011;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;gates_long;https://github.com/Sokomine/gates_long.git;default ;;;;;[Gates (wider)] Wide gates for easy walking through and keeping cattle inside;https://content.minetest.net/packages/Sokomine/gates_long/;https://forum.minetest.net/viewtopic.php?t=13189;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;compass;https://github.com/Sokomine/compass;;;;;;[Static compass] Compass block that can be placed and shows you where north is.;https://content.minetest.net/packages/Sokomine/compass/;https://forum.minetest.net/viewtopic.php?t=3489;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;powerbanks;https://github.com/OgelGames/powerbanks;default technic ;;;;;[Powerbanks] Adds portable powerbanks used to charge technic tools;https://content.minetest.net/packages/OgelGames/powerbanks/;https://forum.minetest.net/viewtopic.php?t=23791;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;morebricks;https://gitlab.com/KaylebJay/morebricks;default moreblocks ;;;;;[Morebricks] Adds an assortment of new bricks to build with.;https://content.minetest.net/packages/CalebJ/morebricks/;https://forum.minetest.net/viewtopic.php?t=22678;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;player_monoids;https://github.com/minetest-mods/player_monoids;;;;;;[Player Monoids] player_monoids is a library for managing global player state, such as physicsoverrides or player visual size.;https://content.minetest.net/packages/Byakuren/player_monoids/;https://forum.minetest.net/viewtopic.php?t=14895;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;beaconinblock;https://github.com/Blockcolor/beacon;default ;;;;;[Beacon in Block] Mix of 2 mods : Beacon and Block in block;https://content.minetest.net/packages/Chiantos/beaconinblock/;https://forum.minetest.net/viewtopic.php?t=20981;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;christmas;https://github.com/Extex101/christmas;;;;;;[Christmas] Adds festive christmas items and nodes;https://content.minetest.net/packages/Extex/christmas/;https://forum.minetest.net/viewtopic.php?t=23782;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hud_timers;https://github.com/appgurueu/hud_timers;modlib ;;;;;[HUD Timers] A lightweight library for adding hud timers.;https://content.minetest.net/packages/LMD/hud_timers/;https://forum.minetest.net/viewtopic.php?t=22347;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;itemframes;https://notabug.org/TenPlus1/itemframes;default ;;;;;[Item Frames and Pedestals] Adds itemframes and pedestals you can place items inside;https://content.minetest.net/packages/TenPlus1/itemframes/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cement;https://gitlab.com/4w/cement;default bucket ;;;;;[Cement] A craftable and �makeable� cement block.;https://content.minetest.net/packages/Linuxdirk/cement/;https://forum.minetest.net/viewtopic.php?t=19406;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;commoditymarket_fantasy;https://github.com/minetest-mods/commoditymarket_fantasy;commoditymarket default ;;;;;[Fantasy Commodity Markets] Adds a number of fantasy-themed marketplaces using commoditymarket;https://content.minetest.net/packages/FaceDeer/commoditymarket_fantasy/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hud_compass;https://github.com/kestral246/hud_compass;;;;;;[HUD Compass] Optionally place a HUD compass and 24-hour clock on the screen.;https://content.minetest.net/packages/kestral/hud_compass/;https://forum.minetest.net/viewtopic.php?t=23999;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;castle_tapestries;https://github.com/minetest-mods/castle_tapestries;default unifieddyes ;;;;;[Castle Tapestries] This is a mod for creating medieval tapestries, as found in castles;https://content.minetest.net/packages/FaceDeer/castle_tapestries/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;yolo;https://github.com/minetest-mods/yolo;;;;;;[Yolo] You Only Live Once - AKA hardcore mode - death is permanent.;https://content.minetest.net/packages/sofar/yolo/;https://forum.minetest.net/viewtopic.php?t=23503;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;qa_block;https://github.com/minetest-mods/qa_block;;;;;;[QA-Block] A mods development / QA helper;https://content.minetest.net/packages/bell07/qa_block/;https://forum.minetest.net/viewtopic.php?t=15759;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;rhotator;https://github.com/entuland/rhotator;matrix ;;;;;[Rhotator Screwdriver] A predictable tool to rotate nodes;https://content.minetest.net/packages/entuland/rhotator/;https://forum.minetest.net/viewtopic.php?t=20321;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bell;https://github.com/Sokomine/bell;;;;;;[Bell] A bell that sounds each hour - like a historic bell in a church or town hall;https://content.minetest.net/packages/Sokomine/bell/;https://forum.minetest.net/viewtopic.php?t=20396;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;3d_armor_mobile;https://github.com/LoneWolfHT/3d_armor_mobile;3d_armor ;;;;;[3D Armor Mobile] Adds a command to bring up a formspec that allows mobile users to put on armor;https://content.minetest.net/packages/Lone_Wolf/3d_armor_mobile/;https://forum.minetest.net/viewtopic.php?t=20483;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;discotrains;https://gitlab.com/h2mm/disco_trains;advtrains_train_subway advtrains_train_track advtrains ;;;;;[Disco trains] Adds colorful trains to advanced trains;https://content.minetest.net/packages/sivarajansam/discotrains/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;orbs_of_time;https://github.com/minetest-mods/orbs_of_time;default ;;;;;[Orbs Of Time] A mod containing magical orbs a player can use a limited number of times to change the time of day;https://content.minetest.net/packages/FaceDeer/orbs_of_time/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;biofuel;https://github.com/Lokrates/Biofuel;default ;;;;;[Biofuel] Produce biofuel from unused plants.;https://content.minetest.net/packages/Lokrates/biofuel/;https://forum.minetest.net/viewtopic.php?t=20616;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;subspacewalker;https://github.com/minetest-mods/subspacewalker;;;;;;[Subspacewalker] Go trough walls, rock or lava using Subspace Walker tool;https://content.minetest.net/packages/bell07/subspacewalker/;https://forum.minetest.net/viewtopic.php?t=15564;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;toolranks_extras;https://github.com/louisroyer/minetest-toolranks-extras/;toolranks ;;;;;[Toolranks Extras] Adds toolranks support for minetest-games�s mods (except default).;https://content.minetest.net/packages/louisroyer/toolranks_extras/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;minetest_wadsprint;https://github.com/aa6/minetest_wadsprint;;;;;;[Minetest Wadsprint] Sprinting with W, A and D buttons.;https://content.minetest.net/packages/drkwv/minetest_wadsprint/;https://forum.minetest.net/viewtopic.php?t=14296;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fromscratch;https://github.com/Quent42340/FromScratch;default farming bucket fluid_lib ;;;;;[FromScratch] All about resource generation from almost nothing!;https://content.minetest.net/packages/Unarelith/fromscratch/;https://forum.minetest.net/viewtopic.php?t=21465;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pillars;https://github.com/citorva/Pillars;default ;;;;;[Pillars] Add a lot of pillars for fun.;https://content.minetest.net/packages/citorva/pillars/;https://forum.minetest.net/viewtopic.php?t=22432;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nc_rabbits;https://github.com/LoneWolfHT/nc_rabbits;nc_api nc_tree nc_terrain ;;;;;[Nodecore Rabbits] Adds rabbit holes, rabbits, and traps to the Nodecore game;https://content.minetest.net/packages/Lone_Wolf/nc_rabbits/;https://forum.minetest.net/viewtopic.php?t=24057;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pova;https://notabug.org/TenPlus1/pova;;;;;;[Pova] Pova gives mod makers a set of functions to safely apply overrides for player speed, jump height and gravity.;https://content.minetest.net/packages/TenPlus1/pova/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;subterrane;https://github.com/minetest-mods/subterrane;default ;;;;;[Subterrane] A mod that creates vast underground caverns and allows biomes to be defined for them;https://content.minetest.net/packages/FaceDeer/subterrane/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;xblocks;https://github.com/Gerold55/xblocks;default ;;;;;[XBlocks] Additional blocks for decoration/building;https://content.minetest.net/packages/GamingAssociation39/xblocks/;https://forum.minetest.net/viewtopic.php?t=18876;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;an_televator;https://github.com/NoctisLabs/an_televator;;;;;;[Televator] Simple lag-free teleporting elevators.;https://content.minetest.net/packages/NoctisLabs/an_televator/;https://forum.minetest.net/viewtopic.php?t=23412;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;serverguide;https://github.com/AiTechEye/serverguide;default ;;;;;[Serverguide] The serverguide;https://content.minetest.net/packages/AiTechEye/serverguide/;https://forum.minetest.net/viewtopic.php?t=13366;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;streetlights;https://gitlab.com/4w/streetlights;default mesecons_extrawires mesecons ;;;;;[Streetlights API Modpack] This modpack combines the Streetlights API and the two reference implementation mods.;https://content.minetest.net/packages/Linuxdirk/streetlights/;https://forum.minetest.net/viewtopic.php?t=20146;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;under_sky;https://github.com/Ezhh/under_sky;;;;;;[Under Sky] Skybox switch for really dark Minetest caves;https://content.minetest.net/packages/Shara/under_sky/;https://forum.minetest.net/viewtopic.php?t=16058;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;resource_crops;;farming bucket ;;;;;[Resource Crops] Simple crops to grow resources inspired by Mystical Agriculture for Minecraft;https://content.minetest.net/packages/TwigGlenn4/resource_crops/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;electrica;https://github.com/thecow275/electrica;default bucket farming screwdriver ;;;;;[Electrica] A mod that adds machines and tools also ores, items, etc;https://content.minetest.net/packages/Evil_Gabe/electrica/;https://forum.minetest.net/viewtopic.php?t=20016;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;upgrade_packs;https://github.com/SmallJoker/upgrade_packs.git;default vessels ;;;;;[Upgrade Packs] Provides craftable packs to players to increase their health and breath;https://content.minetest.net/packages/Krock/upgrade_packs/;https://forum.minetest.net/viewtopic.php?t=20476;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mahogany;;default ;;;;;[Mahogany Tree] A jungle tree.;https://content.minetest.net/packages/runs/mahogany/;https://forum.minetest.net/viewtopic.php?t=22108;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;spawnbuilder;https://repo.or.cz/minetest_spawnbuilder.git;;;;;;[Spawn Builder] Generates a stone platform below the world origin or static spawn point.;https://content.minetest.net/packages/Wuzzy/spawnbuilder/;https://forum.minetest.net/viewtopic.php?t=18790;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;abripanes;https://github.com/Ezhh/abripanes;default dye ;;;;;[Abripanes] Adds faintly glowing coloured glass panes which can be used for stained glass windows or for gentle lighting.;https://content.minetest.net/packages/Shara/abripanes/;https://forum.minetest.net/viewtopic.php?t=16224;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nc_reative;https://gitlab.com/sztest/nc_reative;nc_api_all ;;;;;"[Creative for NodeCore] ""Creative mode"" for NodeCore: adds a rc_reative priv, /rs chat command, and ""replica"" nodes.";https://content.minetest.net/packages/Warr1024/nc_reative/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;floating_anchor;https://github.com/sbrl/minetest-floating_anchor;;;;;;[Floating Anchor] ExtraUtilities' Angel Block for Minecraft in Minetest! Place structures in mid-air with ease.;https://content.minetest.net/packages/Starbeamrainbowlabs/floating_anchor/;https://forum.minetest.net/viewtopic.php?t=20180;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;afterearth;https://github.com/AiTechEye/afterearth;default ;;;;;[After Earth] The earth's ecosystem has collapsed, and there ain't no biologically environment left.;https://content.minetest.net/packages/AiTechEye/afterearth/;https://forum.minetest.net/viewtopic.php?t=18606;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;irc_commands;https://github.com/ShadowNinja/minetest-irc_commands;irc ;;;;;[IRC Commands] Control your server from IRC;https://content.minetest.net/packages/ShadowNinja/irc_commands/;https://forum.minetest.net/viewtopic.php?t=5275;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;uniham;https://gitlab.com/4w/uniham;default ;;;;;[Unified Hammers] Various hammers that can be used to crush nodes.;https://content.minetest.net/packages/Linuxdirk/uniham/;https://forum.minetest.net/viewtopic.php?t=22720;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;stackslabs;https://github.com/TumeniNodes/stackslabs;default ;;;;;[Stack Slabs] stackable slabs for Minetest;https://content.minetest.net/packages/TumeniNodes/stackslabs/;https://forum.minetest.net/viewtopic.php?t=15008;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;columnia;;;;;;;[Columnia] Adds simple pillars and columns;https://content.minetest.net/packages/Gl�nggi/columnia/;https://forum.minetest.net/viewtopic.php?t=;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;minislots_modpack;https://gitlab.com/VanessaE/minislots.git;currency default ;;;;;"[Slot Machine Mini-games] Provides an ""engine"" to drive simple slot machines (includes two). Spins reels, takes in/pays out in Minegeld (Dan's currency mod), etc.";https://content.minetest.net/packages/VanessaE/minislots_modpack/;https://forum.minetest.net/viewtopic.php?t=20790;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;parkoursurvive;https://github.com/AiTechEye/parkoursurvive;;;;;;[Parkour Survive] Parkour ability!;https://content.minetest.net/packages/AiTechEye/parkoursurvive/;https://forum.minetest.net/viewtopic.php?t=21458;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tombs;https://github.com/NathanSalapat/tombs;default ;;;;;[Tomb Stones] Adds many shapes and styles of tombstones.;https://content.minetest.net/packages/Nathan.S/tombs/;https://forum.minetest.net/viewtopic.php?t=21591;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;conquer;https://gitlab.com/rubenwardy/conquer/;;;;;;[Conquer] Command your troops to victory;https://content.minetest.net/packages/rubenwardy/conquer/;https://forum.minetest.net/viewtopic.php?t=24558;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;chakram;https://github.com/AiTechEye/chakram;;;;;;[Chakram] Chakram: weapon & tool at same time;https://content.minetest.net/packages/AiTechEye/chakram/;https://forum.minetest.net/viewtopic.php?t=13749;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;findbiome;https://repo.or.cz/minetest_findbiomes.git;;;;;;[Find Biome] Add commands to list and find biomes;https://content.minetest.net/packages/Wuzzy/findbiome/;https://forum.minetest.net/viewtopic.php?t=23138;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;voxelizer;https://github.com/appgurueu/voxelizer;cmdlib modlib ;;;;;[Voxelizer] Turns 3D models into astonishing voxel builds.;https://content.minetest.net/packages/LMD/voxelizer/;https://forum.minetest.net/viewtopic.php?t=23070;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tempsurvive;https://github.com/AiTechEye/tempsurvive;;;;;;[Temperature Survive] Makes you feel temperatures;https://content.minetest.net/packages/AiTechEye/tempsurvive/;https://forum.minetest.net/viewtopic.php?t=21454;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;instant_ores;https://notabug.org/Piezo_/instant_ores;default ;;;;;[Zero-Effort Custom Minerals] A tool for registering entire materials, complete with ore generation, tool-sets and automatically generated sprites with almost no effort required;https://content.minetest.net/packages/Piezo_/instant_ores/;https://forum.minetest.net/viewtopic.php?t=21898;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;adv_lightsabers;https://github.com/ElCeejoYT/adv_lightsabers;default ;;;;;[Advanced Lightsabers] Relatively Advanced Lightsabers for Minetest Game.;https://content.minetest.net/packages/ElCeejo/adv_lightsabers/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;obdy;https://github.com/Sires0/obdy;farming default ;;;;;[Obdy] Adds some pretty OP tools :);https://content.minetest.net/packages/Sires/obdy/;https://forum.minetest.net/viewtopic.php?t=16342;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;armor_monoid;https://github.com/minetest-mods/armor_monoid;player_monoids ;;;;;[Armor Monoid] A player_monoids monoid for armor;https://content.minetest.net/packages/Byakuren/armor_monoid/;https://forum.minetest.net/viewtopic.php?t=14039;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fireworks_redo;https://gitlab.com/Niwla23/fireworks_redo/;mesecons ;;;;;[Fireworks Redo] Adds some better looking fireworks;https://content.minetest.net/packages/niwla23/fireworks_redo/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;driftbus;https://blockcolor.net/git/MrChiantos/DriftBus;;;;;;[DriftBus] WIP / Not Finish ;https://content.minetest.net/packages/Chiantos/driftbus/;https://forum.minetest.net/viewtopic.php?t=22972;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;ham_radio;https://github.com/technix/ham_radio;default ;;;;;[Ham Radio] Radio transmitters, beacons, and receivers;https://content.minetest.net/packages/techniX/ham_radio/;https://forum.minetest.net/viewtopic.php?t=23759;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;better_fences;https://github.com/ChimneySwift/better_fences;default ;;;;;[Better Fences] A Minetest mod which improves the usability of fences by making fences which connect to less than 2 other fences connect to all nodes.;https://content.minetest.net/packages/ChimneySwift/better_fences/;https://forum.minetest.net/viewtopic.php?t=20761;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;abriflame;https://github.com/Ezhh/abriflame;default fire abriglass ;;;;;[Abriflame] Adds coloured fire through use of fire starter tool.;https://content.minetest.net/packages/Shara/abriflame/;https://forum.minetest.net/viewtopic.php?t=17193;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;barchairs;https://github.com/acmgit/minetest_barchairs.git;;;;;;[Barchairs] Adds some Barchairs.;https://content.minetest.net/packages/Clyde/barchairs/;https://forum.minetest.net/viewtopic.php?t=21048;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;interact;https://github.com/minetest-mods/interact;;;;;;[Interact] A mod that gives the interact priv to players who want it and who have agreed to the rules.;https://content.minetest.net/packages/Amaz/interact/;https://forum.minetest.net/viewtopic.php?t=11200;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sling;https://github.com/minetest-mods/sling;throwing ;;;;;[Sling] Sling enables item stack and single item throwing of any item.;https://content.minetest.net/packages/texmex/sling/;https://forum.minetest.net/viewtopic.php?t=18044;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tower_defense;https://github.com/CBugDCoder/tower_defense;;;;;;[Tower Defense] The Tanks are coming. Are you ready?;https://content.minetest.net/packages/CBugDCoder/tower_defense/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nc_vulcan;https://github.com/wintersknight94/NC_Vulcan;nc_api_all nc_fire nc_concrete nc_terrain nc_items ;;;;;[NC Vulcan] Reworks Magma Generation in NodeCore.;https://content.minetest.net/packages/Winter94/nc_vulcan/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fire_plus;https://github.com/LoneWolfHT/fire_plus;fire ;;;;;[Fire Plus] Makes fire, lava and other flaming nodes a little more dangerous;https://content.minetest.net/packages/Lone_Wolf/fire_plus/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;coins;https://github.com/acmgit/coins;default ;;;;;[Coins] Adds 3 kind of Coins to your game;https://content.minetest.net/packages/Clyde/coins/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;minetest_systemd;https://notabug.org/Piezo_/minetest_systemd;;;;;;[Minetest Systemd (API)] Debugging utility and compatibility tools for server owners and/or modpack creators;https://content.minetest.net/packages/Piezo_/minetest_systemd/;https://forum.minetest.net/viewtopic.php?t=21490;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sailing;https://github.com/cakenggt/sailing;default ;;;;;[Sailing] Live in a tropical paradise where you can sail, mine coconuts, etc.;https://content.minetest.net/packages/cakenggt/sailing/;https://forum.minetest.net/viewtopic.php?t=22159;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pixelart;https://gitlab.com/4w/pixelart;sfinv default ;;;;;[Pixelart] This mod adds nodes for pixelart grouped in color palettes to Minetest;https://content.minetest.net/packages/Linuxdirk/pixelart/;https://forum.minetest.net/viewtopic.php?t=22358;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mathplot;https://github.com/kyleclaassen/minetest_mathplot;default wool ;;;;;[MathPlot] A tool for constructing mathematical curves/surfaces/solids.;https://content.minetest.net/packages/kyleclaassen/mathplot/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nc_light;https://github.com/wintersknight94/NC_WK_LIGHT;nc_lode nc_optics nc_fire nc_api_all ;;;;;[NodeCore Light] New light sources for NodeCore;https://content.minetest.net/packages/Winter94/nc_light/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fancy_vend;https://github.com/ChimneySwift/fancy_vend;default ;;;;;[Fancy Vend] A full-featured, fully-integrated vendor mod for Minetest;https://content.minetest.net/packages/ChimneySwift/fancy_vend/;https://forum.minetest.net/viewtopic.php?t=19706;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;agreerules;https://github.com/AiTechEye/agreerules;;;;;;[Agree rules] Agree rules or be kicked;https://content.minetest.net/packages/AiTechEye/agreerules/;https://forum.minetest.net/viewtopic.php?t=12441;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;trucraft;https://github.com/PolySaken-I-Am/trucraft;default ;;;;;[Trucraft] An alternative crafting system done entirely in the world.;https://content.minetest.net/packages/PolySaken/trucraft/;https://forum.minetest.net/viewtopic.php?t=23094;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mystical_agriculture;;default farming ;;;;;[Mystical Agriculture] Adds Resource Crops, Seeds, Essences, and other cool things!;https://content.minetest.net/packages/RSLRedstonier/mystical_agriculture/;https://forum.minetest.net/viewtopic.php?t=21564;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mesecons_stealthnode;https://github.com/acmgit/mesecons_stealthnode;mesecons_random default ;;;;;[Mesecons Stealthnode] Register your own Ghoststones.;https://content.minetest.net/packages/Clyde/mesecons_stealthnode/;https://forum.minetest.net/viewtopic.php?t=22138;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;poi;https://github.com/acmgit/minetest_poi;;;;;;[Points of Interest] Mod to create or visit Points of Interest;https://content.minetest.net/packages/Clyde/poi/;https://forum.minetest.net/viewtopic.php?t=17992;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;stonebrick_dungeons;https://gitlab.com/H4mlet/stonebrick_dungeons;default stairs ;;;;;[Stonebrick Dungeons] Turns newly generated cobblestone dungeons into stonebrick.;https://content.minetest.net/packages/Hamlet/stonebrick_dungeons/;https://forum.minetest.net/viewtopic.php?t=18457;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;incrediblemaze;;worldedit default ;;;;;[Incredible Maze Generator] This mod is a maze generator;https://content.minetest.net/packages/orwell/incrediblemaze/;https://forum.minetest.net/viewtopic.php?t=16820;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;chat3;https://github.com/octacian/chat3;;;;;;[Chat3] Makes chat on a populated server much easier to understand and keep up with.;https://content.minetest.net/packages/octacian/chat3/;https://forum.minetest.net/viewtopic.php?t=17163;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;rainbarrel;https://notabug.org/Piezo_/rainbarrel;bucket default ;;;;;"[Rain Barrels and Wells] Replaces overpowered  ""water generators"" with a unique water-harvesting system";https://content.minetest.net/packages/Piezo_/rainbarrel/;https://forum.minetest.net/viewtopic.php?t=22095;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;recycleage;https://gitlab.com/H4mlet/recycleage;default farming ;;;;;[Re-Cycle Age] Allows to recycle broken items.;https://content.minetest.net/packages/Hamlet/recycleage/;https://forum.minetest.net/viewtopic.php?t=23414;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;signs_bot;https://github.com/joe7575/signs_bot;farming default tubelib2 basic_materials ;;;;;[Signs Bot] A robot controlled by signs;https://content.minetest.net/packages/joe7575/signs_bot/;https://forum.minetest.net/viewtopic.php?t=22501;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;footprints;https://github.com/minetest-mods/footprints;;;;;;[Footprints] Players walking over various types of terrain will leave footprints, and optionally pack the soil down into trails;https://content.minetest.net/packages/FaceDeer/footprints/;https://forum.minetest.net/viewtopic.php?t=24245;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
